Date,Google,Red Hat,(Self),CoreOS,Microsoft,ZTE Corporation,Mirantis,Weaveworks,Fujitsu,IBM,Others
2016-01,44.7,12.6,3.5,4.0,0.5,0,0.1,10.3,2.6,0.2,21.5
2016-02,51.7,12.9,3.9,2.2,2.9,0,0.1,4.2,2.9,0.7,18.5
2016-03,46.8,11.1,2.4,2.5,5.5,0,0.0,6.8,2.7,0.9,21.3
2016-04,40.8,14.9,1.8,6.0,4.4,0.1,0.6,3.0,1.6,2.2,24.6
2016-05,45.0,13.3,5.9,4.5,2.1,0.7,1.2,2.7,1.5,1.0,22.1
2016-06,51.6,9.2,11.8,3.8,2.9,1.0,1.9,0.3,2.9,0.5,14.1
2016-07,41.0,12.9,9.2,2.8,3.1,5.2,4.2,0.6,1.3,1.1,18.6
2016-08,51.4,12.8,6.8,3.2,3.3,2.1,3.0,0.2,0.8,0.8,15.6
2016-09,40.1,23.3,6.9,6.0,2.6,2.3,3.3,1.5,1.2,0.9,11.9
2016-10,39.4,21.6,5.9,2.2,3.6,0.6,2.9,0.9,0.7,1.4,20.8
2016-11,47.7,16.0,3.7,2.9,2.6,1.4,2.4,0.1,1.4,0.5,21.3
2016-12,34.6,17.3,9.5,3.0,3.6,2.2,2.9,0,0.8,1.8,24.3
2017-01,32.2,24.0,9.2,2.0,2.2,2.0,2.4,0,0.3,2.1,23.6
2017-02,29.8,21.2,6.7,2.4,2.3,4.0,2.3,0.1,1.1,2.3,27.8
2017-03,30.9,18.1,5.5,5.1,1.4,5.6,2.2,0.1,2.3,2.0,26.8
2017-04,34.5,13.8,6.0,2.6,2.7,4.6,2.0,0.0,1.7,2.5,29.6
2017-05,40.8,17.4,3.9,2.6,4.0,2.6,0.6,0.1,2.0,2.0,24.0
2017-06,42.3,14.2,5.3,3.7,2.7,1.0,0.2,0.1,2.2,1.9,26.4
