idx,company,n,percent
0,(All known 1113),41186389,98.76
1,Google,27023712,64.8
2,SOFICOM,2944364,7.1
3,Red Hat,2748035,6.6
4,Fujitsu,2528018,6.1
5,Microsoft,1226440,2.9
6,CoreOS,575930,1.4
7,(Not Found),479114,1.1
8,Kismatic,459889,1.1
9,(Self),448830,1.1
10,Huawei,335071,0.8
11,Planet Labs,285326,0.7
12,FathomDB,267230,0.6
13,Mesosphere,250825,0.6
14,PHP,178813,0.4
15,Tyk,142475,0.3
16,HP,123276,0.3
17,Container Solutions,114188,0.3
18,Engine Yard,105321,0.3
19,Vayable,82722,0.2
20,XCellAir,77840,0.2
31,(Unknown),37872,0.1
95,Gmail *,2286,0.0
481,Qq *,37,0.0
659,Hotmail *,13,0.0
750,Outlook *,8,0.0
871,Yahoo *,4,0.0
