idx,company,n,percent
0,(All known 28),776,98.85
1,Google,271,34.5
2,Red Hat,233,29.7
3,ZTE Corporation,130,16.6
4,(Self),39,5.0
5,IBM,29,3.7
6,ClusterHQ,13,1.7
7,Cisco,12,1.5
8,(Not Found),9,1.1
9,FACEIT,7,0.9
10,Huawei,6,0.8
11,Docker,5,0.6
12,DaoCloud,4,0.5
13,Hyper.sh,4,0.5
14,Tencent,3,0.4
15,Kismatic,2,0.3
16,Fujitsu,2,0.3
17,Amazon,2,0.3
18,Jd.Com,2,0.3
19,CoreOS,2,0.3
20,Chef,1,0.1
21,Petback,1,0.1
22,Inuits,1,0.1
23,hackmh,1,0.1
24,Anadea inc.,1,0.1
25,YY,1,0.1
26,eleme,1,0.1
27,Treasure Data,1,0.1
28,"Collanthropy, LLC",1,0.1
29,Weaveworks,1,0.1
