idx,company,n,percent
0,(All known 459),5495749,99.78
1,Google,2805501,50.9
2,Red Hat,910320,16.5
3,Microsoft,351431,6.4
4,CoreOS,301991,5.5
5,(Self),200136,3.6
6,Kismatic,123314,2.2
7,Mesosphere,111562,2.0
8,PHP,89226,1.6
9,HP,62540,1.1
10,Bulletproof,39035,0.7
11,Schuberg Philis,36442,0.7
12,Huawei,32466,0.6
13,VMware,28184,0.5
14,Apache,27927,0.5
15,Vayable,27296,0.5
16,Epic Games,24319,0.4
17,FathomDB,22732,0.4
18,Mirantis,21306,0.4
19,DEIS,20409,0.4
20,Box,19365,0.4
27,(Unknown),11150,0.2
32,Gmail *,6216,0.1
71,(Not Found),822,0.0
73,Outlook *,764,0.0
242,Hotmail *,26,0.0
332,Yahoo *,9,0.0
403,Qq *,5,0.0
